term,date_raw,event
Fall 2026,September 2,Classes Begin; First Seven-Week Session Begins
Fall 2026,September 7,"Labor Day Holiday, Classes Suspended"
Fall 2026,October 12,"Indigenous People’s Day Holiday, Classes Suspended"
Fall 2026,October 13,Substitute a Monday schedule of classes
Fall 2026,October 16,First Seven-Week Session Ends
Fall 2026,October 19,Second Seven-Week Session Begins
Fall 2026,November 25 – November 29,Thanksgiving Recess
Fall 2026,November 30,Classes Resume
Fall 2026,December 10,Last Day of Classes; Second Seven-Week Session Ends
Fall 2026,December 11 – December 13,Study Period
Fall 2026,December 14,Final Exams Begin
Fall 2026,December 18,Final Exams End
Fall 2026,December 21,Grades Finalization Date
Fall 2026,January 15,Fall Degree Award Date
