qid,retriever,question,retrieved_years,unique_years_retrieved,keyword_coverage,rank_weighted_keyword_score,chunk_ids
q1_battery_technology,similarity,"How did Tesla describe battery technology, battery costs, or battery supply across the filings?","[2016, 2024, 2015, 2016, 2024, 2000, 2023, 2020]",6,1.0,9.038095238095238,"['TSLA-2016-00489', 'TSLA-2024-04620', 'TSLA-2015-00039', 'TSLA-2016-00448', 'TSLA-2024-04531', 'TSLA-2000-03242', 'TSLA-2023-04119', 'TSLA-2020-02713']"
q1_battery_technology,mmr,"How did Tesla describe battery technology, battery costs, or battery supply across the filings?","[2016, 2000, 1900, 1900, 2017, 1900, 2015, 2024]",6,0.8,4.488095238095238,"['TSLA-2016-00489', 'TSLA-2000-03314', 'TSLA-1900-01790', 'TSLA-1900-01516', 'TSLA-2017-00981', 'TSLA-1900-02004', 'TSLA-2015-00039', 'TSLA-2024-04620']"
q2_manufacturing_capacity,similarity,How did Tesla's manufacturing capacity and production ramp risks evolve from 2015 through 2025?,"[2024, 2023, 2000, 1900, 2000, 2024, 2017, 2017]",5,1.0,10.570238095238096,"['TSLA-2024-04615', 'TSLA-2023-04202', 'TSLA-2000-02257', 'TSLA-1900-01540', 'TSLA-2000-03229', 'TSLA-2024-04614', 'TSLA-2017-00985', 'TSLA-2017-01107']"
q2_manufacturing_capacity,mmr,How did Tesla's manufacturing capacity and production ramp risks evolve from 2015 through 2025?,"[2024, 2015, 1900, 2024, 2000, 2017, 2020, 1900]",6,1.0,9.713095238095239,"['TSLA-2024-04615', 'TSLA-2015-00153', 'TSLA-1900-01675', 'TSLA-2024-04613', 'TSLA-2000-03229', 'TSLA-2017-01107', 'TSLA-2020-02697', 'TSLA-1900-01543']"
q3_autopilot_self_driving,similarity,"What do the filings say about Autopilot, self-driving, artificial intelligence, or autonomous vehicle technology?","[2024, 2023, 1900, 2017, 1900, 2000, 2022, 2025]",7,1.0,5.911904761904762,"['TSLA-2024-04582', 'TSLA-2023-04170', 'TSLA-1900-01663', 'TSLA-2017-01038', 'TSLA-1900-01606', 'TSLA-2000-03296', 'TSLA-2022-03750', 'TSLA-2025-04861']"
q3_autopilot_self_driving,mmr,"What do the filings say about Autopilot, self-driving, artificial intelligence, or autonomous vehicle technology?","[2024, 2025, 2025, 2025, 1900, 2017, 2015, 1900]",5,1.0,5.001190476190476,"['TSLA-2024-04582', 'TSLA-2025-05225', 'TSLA-2025-04861', 'TSLA-2025-04867', 'TSLA-1900-01679', 'TSLA-2017-01013', 'TSLA-2015-00026', 'TSLA-1900-01663']"
q4_regulatory_risk,similarity,What regulatory risks appear repeatedly in Tesla's multi-year 10-K filings?,"[2000, 2024, 2025, 2023, 2020, 2022, 2024, 2016]",7,0.2,0.125,"['TSLA-2000-03223', 'TSLA-2024-04518', 'TSLA-2025-04906', 'TSLA-2023-04062', 'TSLA-2020-02694', 'TSLA-2022-03683', 'TSLA-2024-04470', 'TSLA-2016-00809']"
q4_regulatory_risk,mmr,What regulatory risks appear repeatedly in Tesla's multi-year 10-K filings?,"[2000, 2022, 2023, 2017, 2023, 2025, 2015, 2024]",7,0.4,0.325,"['TSLA-2000-03223', 'TSLA-2022-03710', 'TSLA-2023-04401', 'TSLA-2017-01072', 'TSLA-2023-04192', 'TSLA-2025-04861', 'TSLA-2015-00000', 'TSLA-2024-04807']"
q5_revenue_business_model,similarity,How did Tesla's business model and revenue sources change across the filing years?,"[2015, 2016, 2015, 2015, 2015, 2022, 2024, 2023]",5,1.0,8.753571428571428,"['TSLA-2015-00181', 'TSLA-2016-00489', 'TSLA-2015-00113', 'TSLA-2015-00183', 'TSLA-2015-00233', 'TSLA-2022-03801', 'TSLA-2024-04682', 'TSLA-2023-04417']"
q5_revenue_business_model,mmr,How did Tesla's business model and revenue sources change across the filing years?,"[2015, 2024, 2025, 2015, 2023, 1900, 1900, 2022]",6,1.0,7.55952380952381,"['TSLA-2015-00181', 'TSLA-2024-04577', 'TSLA-2025-05081', 'TSLA-2015-00113', 'TSLA-2023-04417', 'TSLA-1900-01536', 'TSLA-1900-01664', 'TSLA-2022-03830']"
q6_competition,similarity,"How does Tesla describe competitive pressure in electric vehicles, energy storage, and related markets?","[2000, 2000, 2022, 2020, 1900, 2024, 2016, 2017]",7,0.8,6.135714285714285,"['TSLA-2000-03245', 'TSLA-2000-02190', 'TSLA-2022-03704', 'TSLA-2020-02715', 'TSLA-1900-01573', 'TSLA-2024-04536', 'TSLA-2016-00416', 'TSLA-2017-01016']"
q6_competition,mmr,"How does Tesla describe competitive pressure in electric vehicles, energy storage, and related markets?","[2000, 1900, 2023, 2024, 2015, 2000, 2023, 2000]",5,0.8,5.001190476190476,"['TSLA-2000-03245', 'TSLA-1900-01664', 'TSLA-2023-04121', 'TSLA-2024-04536', 'TSLA-2015-00050', 'TSLA-2000-02150', 'TSLA-2023-04093', 'TSLA-2000-02167']"
