qid,method,retrieved_years,unique_years_retrieved,keyword_coverage,rank_weighted_keyword_score,chunk_ids
q1_battery_technology,single_query_mmr,"[2016, 2000, 1900, 1900, 2017, 2015]",5,0.8,3.9166666666666665,"['TSLA-2016-00489', 'TSLA-2000-03314', 'TSLA-1900-01790', 'TSLA-1900-01516', 'TSLA-2017-00981', 'TSLA-2015-00039']"
q1_battery_technology,decomposed_query_mmr,"[2016, 2000, 1900, 1900, 2017, 2015, 2000, 2025, 2016, 2000]",6,0.8,4.811111111111112,"['TSLA-2016-00489', 'TSLA-2000-03314', 'TSLA-1900-01790', 'TSLA-1900-01516', 'TSLA-2017-00981', 'TSLA-2015-00039', 'TSLA-2000-02372', 'TSLA-2025-04999', 'TSLA-2016-00448', 'TSLA-2000-03363']"
q2_manufacturing_capacity,single_query_mmr,"[2024, 2015, 2000, 1900, 2024, 2017]",5,1.0,8.633333333333333,"['TSLA-2024-04615', 'TSLA-2015-00153', 'TSLA-2000-03229', 'TSLA-1900-01675', 'TSLA-2024-04613', 'TSLA-2017-01107']"
q2_manufacturing_capacity,decomposed_query_mmr,"[2024, 2015, 2000, 1900, 2024, 2017, 2022, 2015, 2015, 2025]",7,1.0,10.177380952380954,"['TSLA-2024-04615', 'TSLA-2015-00153', 'TSLA-2000-03229', 'TSLA-1900-01675', 'TSLA-2024-04613', 'TSLA-2017-01107', 'TSLA-2022-03682', 'TSLA-2015-00113', 'TSLA-2015-00150', 'TSLA-2025-05002']"
q3_autopilot_self_driving,single_query_mmr,"[2024, 2025, 2025, 2025, 1900, 2017]",4,0.8,4.483333333333333,"['TSLA-2024-04582', 'TSLA-2025-05225', 'TSLA-2025-04861', 'TSLA-2025-04867', 'TSLA-1900-01679', 'TSLA-2017-01013']"
q3_autopilot_self_driving,decomposed_query_mmr,"[2024, 2025, 2025, 2025, 1900, 2017, 1900, 2025, 2015, 2025]",5,1.0,5.1119047619047615,"['TSLA-2024-04582', 'TSLA-2025-05225', 'TSLA-2025-04861', 'TSLA-2025-04867', 'TSLA-1900-01679', 'TSLA-2017-01013', 'TSLA-1900-01663', 'TSLA-2025-05213', 'TSLA-2015-00054', 'TSLA-2025-05222']"
q4_regulatory_risk,single_query_mmr,"[2000, 2022, 2023, 2023, 2025, 2015]",5,0.2,0.25,"['TSLA-2000-03223', 'TSLA-2022-03710', 'TSLA-2023-04401', 'TSLA-2023-04192', 'TSLA-2025-04861', 'TSLA-2015-00000']"
q4_regulatory_risk,decomposed_query_mmr,"[2000, 2022, 2023, 2023, 2025, 2015, 2024, 1900, 2015, 2025]",7,0.4,0.35,"['TSLA-2000-03223', 'TSLA-2022-03710', 'TSLA-2023-04401', 'TSLA-2023-04192', 'TSLA-2025-04861', 'TSLA-2015-00000', 'TSLA-2024-04470', 'TSLA-1900-01536', 'TSLA-2015-00349', 'TSLA-2025-05195']"
q5_revenue_business_model,single_query_mmr,"[2015, 2024, 2025, 2015, 2023, 1900]",5,1.0,7.583333333333334,"['TSLA-2015-00181', 'TSLA-2024-04577', 'TSLA-2025-05081', 'TSLA-2015-00113', 'TSLA-2023-04417', 'TSLA-1900-01664']"
q5_revenue_business_model,decomposed_query_mmr,"[2015, 2024, 2025, 2015, 2023, 1900, 2016, 2000, 2000, 2000]",7,1.0,8.37063492063492,"['TSLA-2015-00181', 'TSLA-2024-04577', 'TSLA-2025-05081', 'TSLA-2015-00113', 'TSLA-2023-04417', 'TSLA-1900-01664', 'TSLA-2016-00489', 'TSLA-2000-03169', 'TSLA-2000-02306', 'TSLA-2000-02372']"
q6_competition,single_query_mmr,"[2000, 2020, 2024, 2015, 1900, 2016]",6,0.8,4.3999999999999995,"['TSLA-2000-03245', 'TSLA-2020-02705', 'TSLA-2024-04536', 'TSLA-2015-00050', 'TSLA-1900-01664', 'TSLA-2016-00416']"
q6_competition,decomposed_query_mmr,"[2000, 2020, 2024, 2015, 1900, 2016, 2016, 1900, 2000, 2000]",6,0.8,5.003968253968253,"['TSLA-2000-03245', 'TSLA-2020-02705', 'TSLA-2024-04536', 'TSLA-2015-00050', 'TSLA-1900-01664', 'TSLA-2016-00416', 'TSLA-2016-00489', 'TSLA-1900-01574', 'TSLA-2000-03234', 'TSLA-2000-02150']"
