id,sentence,label,split,label_source
cls_0001,"Business Company Background The Company designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0002,Products iPhone iPhone is the Company's line of smartphones based on its iOS operating system.,revenue_sales,validation,keyword_heuristic_for_teaching
cls_0003,"The iPhone line includes iPhone 17 Pro, iPhone Air, iPhone 17, iPhone 16 and iPhone 16e.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0004,Mac Mac is the Company's line of personal computers based on its macOS operating system.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0005,"The Mac line includes laptops MacBook Air and MacBook Pro , as well as desktops iMac , Mac mini , Mac Studio and Mac Pro . iPad iPad is the Company's line of multipurpose tablets based on its iPadOS operating system.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0006,"The iPad line includes iPad Pro , iPad Air , iPad and iPad mini .",revenue_sales,train,keyword_heuristic_for_teaching
cls_0007,Cloud Services The Company's cloud services store and keep customers' content up-to-date and available across multiple Apple devices and Windows personal computers.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0008,"Payment Services The Company offers payment services, including Apple Card , a co-branded credit card, and Apple Pay , a cashless payment service.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0009,The Company sells its services in the same markets through its various service platforms.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0010,"The Company also employs a variety of indirect distribution channels, such as third-party cellular network carriers and other resellers, for the sale of its products and certain of its services.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0011,"During 2025, the Company's net sales through its direct and indirect distribution channels accounted for 40% and 60%, respectively, of total net sales.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0012,"The markets in which the Company competes are further defined by frequent introduction of new products and services, short product life cycles, evolving industry standards, and rapid adoption of technological advancements by competitors.",revenue_sales,validation,keyword_heuristic_for_teaching
cls_0013,"The Company designs and develops nearly the entire solution for its products, including the hardware, operating system, numerous software applications and related services.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0014,"The Company is focused on expanding its market opportunities related to smartphones, personal computers, tablets, wearables and accessories, and services.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0015,"The Company's products and services face substantial competition from companies that have significant technical, marketing, distribution and other resources, as well as established hardware, software, and service offerings with large customer bases.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0016,"Certain competitors have the resources, experience or cost structures to provide products and services at little or no profit or even at a loss.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0017,"Supply of Components Although most components essential to the Company's business are generally available from multiple sources, certain components are currently obtained from single or limited sources.",operations_supply,train,keyword_heuristic_for_teaching
cls_0018,"Intellectual Property The Company currently holds a broad collection of intellectual property rights relating to certain aspects of its hardware, software and services.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0019,No single intellectual property right is solely responsible for protecting the Company's products and services.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0020,The Company believes the duration of its intellectual property rights is adequate relative to the expected lives of its products and services.,revenue_sales,test,keyword_heuristic_for_teaching
cls_0021,"It may be necessary in the future to seek or renew licenses relating to various aspects of the Company's products, processes and services.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0022,Business Seasonality and Product Introductions The Company has historically experienced higher net sales in its first quarter compared to other quarters in its fiscal year due in part to seasonal holiday demand.,revenue_sales,validation,keyword_heuristic_for_teaching
cls_0023,"Additionally, new product and service introductions can significantly impact net sales, cost of sales and operating expenses.",margin_cost,train,keyword_heuristic_for_teaching
cls_0024,Net sales can also be affected when consumers and distributors anticipate a product introduction.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0025,"The Company believes that compensation should be competitive and equitable, and offers discretionary cash and equity awards to enable employees to share in the Company's success.",cash_capital,train,keyword_heuristic_for_teaching
cls_0026,"Risk Factors The following summarizes factors that could have a material adverse effect on the Company's business, reputation, results of operations, financial condition and stock price.",risk_factor,train,keyword_heuristic_for_teaching
cls_0027,"The Company may not be able to accurately predict, control or mitigate these risks.",risk_factor,train,keyword_heuristic_for_teaching
cls_0028,The risks and uncertainties described below are not exhaustive and should not be considered a complete statement of all potential risks or uncertainties that the Company faces or may face in the future.,risk_factor,train,keyword_heuristic_for_teaching
cls_0029,The Company has international operations with sales outside the U.S. representing a majority of the Company's total net sales.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0030,"In addition, the Company's global supply chain is large and complex and a majority of the Company's supplier facilities, including manufacturing and assembly sites, are located outside the U.S.",operations_supply,test,keyword_heuristic_for_teaching
cls_0031,"The Company has a large, global business with sales outside the U.S. representing a majority of the Company's total net sales, and the Company believes that it generally benefits from growth in international trade.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0032,"Restrictions on international trade, such as tariffs and other controls on imports or exports of goods, technology or data, can materially adversely affect the Company's business and supply chain.",operations_supply,validation,keyword_heuristic_for_teaching
cls_0033,The impact can be particularly significant if these restrictive measures apply to countries and regions where the Company derives a significant portion of its revenues and/or has significant supply chain operations.,operations_supply,train,keyword_heuristic_for_teaching
cls_0034,"Changing the Company's business and supply chain in accordance with new or changed restrictions on international trade can be expensive, time-consuming and disruptive to the Company's business and results of operations.",operations_supply,train,keyword_heuristic_for_teaching
cls_0035,"Global supply chains can be highly concentrated, and an escalation of geopolitical tensions or conflict could result in significant disruptions.",operations_supply,train,keyword_heuristic_for_teaching
cls_0036,The Company's operations are also subject to the risks of industrial accidents at its suppliers and contract manufacturers.,risk_factor,train,keyword_heuristic_for_teaching
cls_0037,"Because the Company relies on single or limited sources for the supply and manufacture of many critical components, a business interruption affecting such sources would exacerbate any negative consequences to the Company.",operations_supply,train,keyword_heuristic_for_teaching
cls_0038,"Global markets for the Company's products and services are highly competitive and subject to rapid technological change, and the Company may be unable to compete effectively in these markets.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0039,The Company's products and services are offered in highly competitive global markets.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0040,"These markets are further defined by frequent introduction of new products and services, short product life cycles, evolving industry standards, and rapid adoption of technological advancements.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0041,"The Company's ability to compete successfully depends heavily on ensuring the continuing and timely introduction of innovative new products, services and technologies to the marketplace.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0042,"The Company designs and develops nearly the entire solution for its products, including the hardware, operating system, numerous software applications and related services.",revenue_sales,validation,keyword_heuristic_for_teaching
cls_0043,"These investments may not achieve expected returns, and the Company may not be able to develop and market new products and services successfully.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0044,"The Company's products and services face substantial competition from companies that have significant technical, marketing, distribution and other resources, as well as established hardware, software and service offerings.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0045,"Certain competitors have the resources, experience or cost structures to provide products and services at little or no profit or even at a loss.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0046,"New products, services and technologies may replace or supersede existing offerings and may produce lower revenues and lower profit margins.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0047,"The Company may not be able to successfully manage future introductions and transitions of products and services, which can materially adversely affect the Company's business, reputation, results of operations, financial condition and stock price.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0048,"The Company depends on component and product manufacturing and logistical services provided by outsourcing partners, many of which are located outside of the U.S.",operations_supply,train,keyword_heuristic_for_teaching
cls_0049,"The Company relies on single-source partners in the U.S., Asia and Europe to supply and manufacture many components, and on partners primarily located in Asia, for final assembly of substantially all of the Company's hardware products.",operations_supply,train,keyword_heuristic_for_teaching
cls_0050,"Such diminished control has from time to time had, and may in the future have, an adverse effect on the cost, quality or quantity of products manufactured or services provided, or adversely affect the Company's flexibility to respond to changing conditions.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0051,"Changes or additions to the Company's supply chain require considerable time and resources and involve significant risks and uncertainties, including exposure to additional regulatory and operational risks.",risk_factor,test,keyword_heuristic_for_teaching
cls_0052,"Because the Company currently obtains certain components from single or limited sources, the Company is subject to significant supply and pricing risks.",operations_supply,validation,keyword_heuristic_for_teaching
cls_0053,"Therefore, the Company remains subject to significant risks of supply shortages and price increases that can materially adversely affect its business, results of operations, financial condition and stock price.",risk_factor,train,keyword_heuristic_for_teaching
cls_0054,The Company offers complex hardware and software products and services that can be affected by design and manufacturing defects.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0055,"Sophisticated operating system software and applications, such as those offered by the Company, often have issues that can unexpectedly interfere with the intended operation of hardware or software products and services.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0056,Component defects could make the Company's products unsafe and create a risk of environmental or property damage and personal injury.,risk_factor,train,keyword_heuristic_for_teaching
cls_0057,"These risks may increase as the Company's products are introduced into specialized applications, including health.",risk_factor,train,keyword_heuristic_for_teaching
