"Module","File","Title","Subtitle"
"M0_A.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_A.qmd","Module 0 Assignment: Neural Networks for Regression and Classification","End-to-End Deep Learning with PyTorch"
"M0_highlights.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_highlights.qmd","Module 0: Highlights","Technology Stack Preparation & Deep Learning Foundations"
"M0_instructor01.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_instructor01.qmd","",""
"M0_Lab1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_Lab1.qmd","Module 0: Lab 1","PyTorch Tensor Foundations in Google Colab"
"M0_Lab2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_Lab2.qmd","Module 0: Lab 2","Math Foundations, Activations, and SGD"
"M0_Lab3.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_Lab3.qmd","Module 0, Lab 3: Neural Networks for Regression and Classification","California Housing (MLP Regression) and Palmer Penguins (MLP Classification)"
"M0_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_LN1.qmd","Module 0: Lecture Notes 1","Colab + GPU + Tensors (Detailed)"
"M0_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_LN2.qmd","Module 0: Lecture Notes 2","Mathematical Foundations for Neural Networks and SGD"
"M0_LN3.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_LN3.qmd","Module 0, Lecture 3: Neural Networks — Regression and Classification","From Linear Models to Multilayer Perceptrons"
"M0_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_P1.qmd","AD698 - Applied Generative AI","Introduction to Version Control"
"M0_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_P2.qmd","AD698 - Applied Generative AI","Google Colab & Python Environment Setup"
"M0_P3.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_P3.qmd","AD698 - Applied Generative AI","Neural Networks — Regression and Classification"
"M0_Proj.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_Proj.qmd","M00 Project Launch","SEC 10-K Financial RAG: Student Build Plan"
"M0_T1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_T1.qmd","Module 0: Tutorial 1","Hands-On Google Colab + PyTorch Tensors"
"M0_T2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_T2.qmd","Module 0: Tutorial 2","Hands-On Math for Neural Networks: Activations and SGD"
"M0_T3.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_T3.qmd","Module 0, Tutorial 3: Neural Networks in Practice","Single-Layer Perceptron vs. 3-Layer MLP on Simulated Data"
"M0_Wrapup.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_Wrapup.qmd","Module 0: Wrap-Up","Technology Stack Preparation & Deep Learning Foundations"
"M01_A.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_A.qmd","Assignment 1: Rival Company Risk Fingerprints","Vocabulary, Frequency, and a First Classifier from SEC 10-K Filings"
"M01_highlights.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_highlights.qmd","Module 1: Highlights","Language Probability and Representation"
"M01_Lab1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_Lab1.qmd","Module 1 - Lab 1","From Raw Text to NLP Pipelines (SEC 10-K)"
"M01_Lab2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_Lab2.qmd","Module 1 - Lab 2","Word Embeddings and Neural Text Representations"
"M01_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_LN1.qmd","AD698 - Applied Generative AI","Early Neural Networks & Natural Language Processing"
"M01_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_LN2.qmd","M01: Lecture Note 2","Language, Probability, and Generative Systems"
"M01_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_P1.qmd","AD698 - Applied Generative AI","Introduction to Generative AI & Business Applications"
"M01_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_P2.qmd","AD698 - Applied Generative AI","Language, Probability, and Generative Systems"
"M01_participation1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_participation1.qmd","Participation 1: AWS Generative AI Foundations Certification","10-Week Recommended Plan"
"M01_participation2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_participation2.qmd","Module 1: Participation 2","Group Paper Presentation"
"M01_Proj.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_Proj.qmd","Business Running Case: SEC 10-K Financial RAG","Project Instructions I - Complete Pipeline Overview and Step 1"
"M01_Wrapup.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_Wrapup.qmd","Module 1: Wrap-Up","Language Probability and Representation"
"M02_A.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_A.qmd","Assignment 2: From Frequency to Meaning","Word Embeddings and the Geometry of Rivalry in SEC 10-K Filings"
"M02_highlights.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_highlights.qmd","Module 2: Highlights","Meaning and Structured Text"
"M02_Lab1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_Lab1.qmd","M02: Lab 1","Neural Language Modeling with PyTorch LSTM"
"M02_Lab2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_Lab2.qmd","M02 Lab02",""
"M02_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_LN1.qmd","M02: Lecture Note 1","Mathematical Foundations Through Language Modeling"
"M02_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_LN2.qmd","M02: Lecture Note 2","From Words to Structured Text"
"M02_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_P1.qmd","AD698 - Applied Generative AI","Language Modeling, Structured Prediction, & Evaluation"
"M02_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_P2.qmd","AD698 - Applied Generative AI","From Words to Structured Text"
"M02_participation1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_participation1.qmd","Participation 1: AWS Generative AI Foundations Certification","10-Week Recommended Plan"
"M02_participation2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_participation2.qmd","Module 2: Participation 2","Group Paper Presentation"
