sentence_id,token,bio_tag
ner_001,Apple,B-ORG
ner_001,reported,O
ner_001,total,O
ner_001,net,B-FIN_METRIC
ner_001,sales,I-FIN_METRIC
ner_001,of,O
ner_001,"$416,161",B-MONEY
ner_001,million,I-MONEY
ner_001,in,O
ner_001,2025,B-DATE
ner_001,.,O
ner_001,,
ner_002,U.S.,O
ner_002,net,B-FIN_METRIC
ner_002,sales,I-FIN_METRIC
ner_002,were,O
ner_002,"$151,790",B-MONEY
ner_002,million,I-MONEY
ner_002,in,O
ner_002,2025,B-DATE
ner_002,.,O
ner_002,,
ner_003,China,B-GEO
ner_003,net,B-FIN_METRIC
ner_003,sales,I-FIN_METRIC
ner_003,were,O
ner_003,"$64,377",B-MONEY
ner_003,million,I-MONEY
ner_003,in,O
ner_003,2025,B-DATE
ner_003,.,O
ner_003,,
ner_004,Services,B-PRODUCT
ner_004,revenue,B-FIN_METRIC
ner_004,includes,O
ner_004,advertising,O
ner_004,",",O
ner_004,AppleCare,B-PRODUCT
ner_004,",",O
ner_004,and,O
ner_004,cloud,O
ner_004,services.,O
ner_004,,
ner_005,The,O
ner_005,Company,B-ORG
ner_005,returns,O
ner_005,capital,O
ner_005,through,O
ner_005,share,B-FIN_METRIC
ner_005,repurchases,I-FIN_METRIC
ner_005,and,O
ner_005,dividends.,O
ner_005,,
