keyword,rationale
net sales,Central top-line financial metric used throughout the filing.
Services,Major Apple revenue category.
Products,Major Apple revenue category.
gross margin,Profitability metric affected by mix and cost structure.
supply chain,Operational risk theme.
foreign exchange,Market risk theme affecting reported results.
share repurchases,Capital return mechanism.
dividends,Capital return mechanism.
research and development,Operating investment theme.
regulatory proceedings,Legal and compliance risk theme.
