sentence,label
Net sales increased during fiscal 2025 compared with fiscal 2024.,performance
"Services revenue reflects sales from advertising, AppleCare and cloud services.",segment
The Company faces risks related to supply chain disruptions and component availability.,risk
Foreign exchange movements can affect reported net sales and margins.,risk
Research and development expense supports future products and services.,expense
The Company returns capital through share repurchases and dividends.,capital_return
iPhone net sales are a major component of total net sales.,segment
Gross margin is affected by product mix and cost structures.,performance
Regulatory proceedings could materially affect the Company's business.,risk
Cash generated by operating activities funds investment and shareholder returns.,cash_flow
